ID,CCAvg,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard,Age,Family,ZIPCode,FirstName,LastName,Education,Experience,Income
55,0.2,0,0,0,0,1,0,29.0,1.0,95819.0,Eugene,Perris,3,5,44
56,8.0,0,0,0,0,1,0,41.0,2.0,94022.0,Jeffrey,Mcdaniel,1,17,139
57,0.1,0,0,1,1,1,0,55.0,3.0,94005.0,Jeffery,Smith,2,30,29
58,1.2,0,1,0,0,0,0,56.0,2.0,95616.0,Tillie,Thornton,3,31,131
59,0.2,0,0,0,0,0,0,28.0,2.0,94065.0,Thomas,Hudson,1,2,93
60,4.5,455,0,0,0,0,0,31.0,2.0,91320.0,Madeline,Mcduffie,1,5,188
61,1.7,0,0,1,0,1,0,49.0,3.0,90404.0,Pauline,Bermudez,2,24,39
62,5.7,112,0,1,0,0,0,47.0,1.0,93407.0,Flora,Mathews,1,21,125
63,1.0,0,0,0,0,0,0,42.0,1.0,90089.0,James,Smith,1,18,22
64,0.0,0,0,0,0,1,0,42.0,4.0,94523.0,Annie,Ficklin,2,17,32
65,3.3,0,0,0,0,0,0,47.0,2.0,90024.0,Michael,Sweeney,1,23,105
66,3.8,0,0,0,0,1,1,59.0,1.0,91360.0,Charlie,Beaver,1,35,131
67,2.8,336,0,0,0,0,0,62.0,2.0,95670.0,Andy,Hesley,1,36,105
68,2.0,132,0,1,0,0,0,53.0,4.0,95123.0,Darrel,Vessey,3,23,45
69,2.1,0,0,0,0,1,1,47.0,3.0,93407.0,Connie,Sarni,1,21,60
70,0.2,0,0,0,0,1,0,53.0,4.0,90045.0,Peggie,Parker,1,29,20
71,3.5,0,0,0,0,0,1,42.0,1.0,91335.0,Maurice,Wilson,1,18,115
72,1.0,0,0,0,0,1,0,53.0,4.0,93907.0,Fred,Mccreery,2,29,69
73,5.0,0,0,0,0,0,1,44.0,1.0,92007.0,Angel,Kapinos,1,20,130
74,4.0,0,0,0,0,1,1,41.0,1.0,94606.0,Martha,White,3,16,85
75,3.3,0,0,0,0,0,1,28.0,2.0,94611.0,Veronica,Fisher,1,3,135
76,3.8,0,1,0,1,1,1,31.0,4.0,94901.0,Susanna,Knight,2,7,135
77,0.3,0,0,0,0,0,0,58.0,3.0,91320.0,Herlinda,Wilson,3,32,12
78,0.5,0,0,0,0,0,0,46.0,3.0,92220.0,Reynaldo,Peck,2,20,29
79,2.6,0,1,0,0,0,0,54.0,2.0,93305.0,Kelly,Bratton,3,30,133
80,0.4,118,0,0,0,1,0,50.0,2.0,94720.0,Rafael,Ortega,1,26,19
81,1.3,174,0,0,0,1,1,60.0,4.0,95134.0,Nicholas,Mills,1,36,41
82,2.7,0,0,0,0,1,0,47.0,3.0,94612.0,Kathryn,Gordon,2,22,40
83,4.0,0,0,0,0,1,0,41.0,1.0,92507.0,Linda,Smith,3,16,82
84,2.4,0,0,0,0,0,0,33.0,1.0,94305.0,John,Waters,2,9,50
85,0.9,0,0,0,0,1,0,46.0,1.0,91730.0,Mary,Fox,3,22,18
86,1.8,0,0,0,0,0,0,27.0,4.0,94005.0,Harry,Kollar,3,2,109
87,2.2,126,0,0,0,0,0,40.0,4.0,94501.0,Ada,Alexander,2,16,42
88,1.1,0,0,0,0,1,0,48.0,3.0,94305.0,Alvin,Garrett,1,22,78
89,1.1,0,0,0,0,1,0,65.0,2.0,94117.0,Deborah,Girard,1,41,51
90,2.3,0,0,0,0,0,1,25.0,4.0,94303.0,Todd,Seacat,3,-1,113
91,5.6,0,1,0,0,1,0,55.0,4.0,90277.0,Deborah,Nelson,2,30,118
92,1.1,0,0,0,0,1,0,35.0,4.0,94105.0,Angela,Barron,3,10,29
93,0.6,0,0,0,0,0,0,43.0,3.0,94305.0,Corey,Hall,2,19,34
94,1.7,236,0,1,0,1,0,60.0,2.0,94550.0,Roy,Mitchell,3,34,64
95,2.0,0,0,0,0,0,0,65.0,1.0,92612.0,Tonya,Henriksen,1,39,121
96,0.2,0,0,0,0,1,0,38.0,4.0,95617.0,Ruth,Follick,3,12,48
97,5.2,0,0,0,0,0,0,41.0,1.0,95014.0,Richard,Holland,1,15,80
98,2.9,0,0,0,0,1,0,54.0,1.0,92121.0,Salvador,Jones,1,28,161
99,0.3,0,0,0,0,1,0,49.0,1.0,92374.0,Ralph,Hamilton,1,23,94
100,0.1,0,0,0,0,1,0,66.0,3.0,91711.0,Jamie,Campbell,3,41,15
101,1.2,0,0,0,0,1,0,48.0,1.0,94080.0,Stacy,Jones,1,23,74
102,1.3,0,0,0,0,0,0,61.0,3.0,94608.0,Sherry,Peterson,2,36,30
103,1.0,198,0,0,0,1,1,53.0,3.0,93555.0,Ashley,Cauffman,3,23,44
104,0.3,0,0,0,0,1,0,43.0,2.0,95670.0,Tasha,Pimentel,2,18,22
105,1.3,166,0,0,0,1,1,56.0,4.0,93311.0,Helena,Miller,1,32,38
106,0.1,0,0,1,0,1,0,24.0,3.0,94704.0,Jennifer,Silverman,2,0,35
107,2.9,0,0,0,0,1,1,43.0,4.0,92717.0,Sonia,Ainslie,1,17,69
108,0.7,136,0,0,0,0,0,42.0,1.0,92037.0,Sandra,Sherwood,1,18,43
109,0.6,166,0,0,0,1,0,33.0,1.0,95136.0,Mathilda,Franco,3,7,32
110,2.8,0,0,0,0,1,0,43.0,1.0,94542.0,Tiffany,Skeens,1,17,49
111,1.0,0,0,0,0,0,0,41.0,3.0,91330.0,Willie,Sanchez,2,14,9
112,1.3,0,0,0,0,1,0,62.0,4.0,94143.0,Doris,Gonzales,2,38,45
113,1.0,309,0,0,0,0,0,40.0,3.0,91775.0,Brain,Crow,1,15,82
114,2.8,103,0,0,0,0,0,58.0,2.0,92703.0,Lennie,Martin,1,34,92
115,0.5,0,0,0,0,1,0,39.0,3.0,92354.0,Cornelius,Bass,3,14,39
116,1.8,0,0,0,0,1,0,65.0,3.0,92024.0,Sherry,Laseter,2,40,81
117,1.5,0,0,0,0,1,0,54.0,1.0,92831.0,Barry,Jagers,2,29,35
118,2.3,193,0,0,0,1,0,58.0,2.0,92833.0,Juanita,Mckinney,3,33,61
119,3.0,0,0,0,0,1,0,41.0,3.0,92647.0,Flora,Torrez,1,16,73
120,4.6,366,0,0,0,0,0,32.0,1.0,94304.0,John,Moran,1,7,112
121,0.2,0,0,0,0,1,0,54.0,2.0,90057.0,Michael,Tammaro,3,29,12
122,0.9,0,0,0,0,1,0,52.0,3.0,91711.0,Clarence,Morrow,3,26,38
123,0.7,0,0,0,0,1,1,58.0,2.0,94523.0,Nicole,Fuller,2,32,73
124,3.6,0,0,1,0,0,0,37.0,1.0,92130.0,Benjamin,Palesano,2,13,84
125,2.4,118,0,0,0,1,0,39.0,4.0,92121.0,Leslie,Anwar,1,15,78
126,0.5,0,0,0,0,1,0,60.0,3.0,91301.0,Jennifer,Barnett,1,35,80
127,1.3,101,0,0,0,1,1,31.0,2.0,92096.0,Leon,Barbetta,1,5,115
128,2.7,251,0,0,0,1,0,34.0,1.0,92646.0,Cheryl,Bowey,2,8,82
129,0.0,0,0,1,0,1,0,38.0,2.0,92182.0,Harold,Bolden,1,14,74
130,0.5,0,0,0,0,0,1,41.0,3.0,92131.0,Judy,Bowers,3,16,70
131,1.5,276,0,0,0,1,0,28.0,3.0,94801.0,David,Darragh,1,4,81
132,7.2,0,1,0,1,1,1,58.0,4.0,93720.0,Michelle,Voss,2,34,149
133,1.75,0,0,0,0,0,0,31.0,2.0,90840.0,Joyce,Johnson,3,1,51
134,1.1,0,0,0,0,1,0,30.0,3.0,90245.0,Bill,Hastings,2,4,39
135,1.8,0,0,0,0,0,0,53.0,3.0,95035.0,Jessica,Antonio,2,29,98
136,2.1,0,0,0,0,1,1,58.0,4.0,93010.0,Marc,Worthing,1,33,45
137,2.5,0,0,0,0,1,0,59.0,4.0,95035.0,Robert,Lewis,2,32,49
138,0.4,0,0,0,0,0,0,49.0,2.0,95054.0,Troy,Orozco,1,25,128
139,1.5,0,0,1,1,0,1,59.0,3.0,94928.0,Diana,Hicks,1,34,42
140,1.2,0,0,0,0,1,0,59.0,1.0,93305.0,Donald,Hayes,3,35,18
141,0.4,161,0,0,0,1,1,51.0,2.0,90245.0,Jesse,Hall,3,25,31
142,2.0,149,0,0,0,1,1,35.0,3.0,95831.0,Alex,Dempsey,1,11,58
143,2.1,0,0,0,0,0,1,33.0,1.0,91770.0,Stephen,Anderson,3,9,48
144,1.6,0,0,0,0,1,1,25.0,4.0,94117.0,Eloy,Hicks,1,1,54
145,1.5,0,0,0,0,0,0,49.0,2.0,92093.0,Matthew,Telford,2,23,70
146,7.4,0,0,0,0,0,1,59.0,1.0,90007.0,Kristen,Mckay,1,35,124
147,2.67,0,0,0,0,1,1,46.0,1.0,94102.0,Natalie,Friday,2,19,84
148,3.6,188,0,0,0,1,0,50.0,4.0,94542.0,Beth,Branch,3,25,83
149,0.4,116,0,0,0,1,0,52.0,2.0,91423.0,Larry,Gregory,1,28,163
150,2.2,0,0,0,0,0,0,48.0,3.0,93955.0,Donald,Lagrimas,2,22,42
151,7.5,0,0,0,1,1,1,46.0,2.0,94107.0,David,Cline,1,22,118
152,6.5,0,1,0,0,0,1,26.0,3.0,92834.0,Alta,Strode,3,0,132
153,1.3,0,0,0,0,1,1,57.0,1.0,93117.0,David,Burton,1,32,24
154,1.0,0,0,1,1,1,1,60.0,2.0,94551.0,Jeff,Gallo,1,36,22
155,1.3,0,0,0,0,0,0,54.0,4.0,92612.0,Elizabeth,Miller,3,29,58
156,1.6,0,0,0,0,1,0,24.0,4.0,94596.0,Christine,Herbert,1,0,60
157,0.4,0,0,0,0,0,1,26.0,4.0,92131.0,Monica,Alcaraz,1,0,15
158,2.67,0,0,0,0,1,1,41.0,4.0,94025.0,Andrea,Roark,1,17,83
159,1.5,0,0,0,0,1,1,32.0,2.0,94720.0,Federico,Thompson,3,6,79
160,1.7,0,0,1,0,1,0,61.0,4.0,94545.0,Gary,Bishop,2,35,41
161,6.5,0,1,0,0,0,0,29.0,4.0,95819.0,Travis,Batie,3,0,134
162,2.8,0,0,0,0,1,0,61.0,2.0,95053.0,Ron,Diaz,1,35,80
163,2.0,0,0,0,0,0,0,38.0,1.0,90036.0,Edwin,Griffin,1,12,52
164,2.6,0,0,0,0,1,0,28.0,4.0,91125.0,James,Fountain,1,4,70
165,1.1,0,0,1,0,0,0,53.0,2.0,95120.0,Kristine,Francis,1,27,92
166,1.5,0,0,0,0,1,0,27.0,1.0,94706.0,Joyce,Hatton,1,1,43
167,1.0,0,0,0,0,0,0,25.0,3.0,95827.0,Rogelio,Marquez,2,1,21
168,0.9,0,0,0,0,1,1,33.0,3.0,94305.0,Fred,Perez,3,9,23
169,1.0,0,0,0,0,1,0,50.0,4.0,91320.0,Florence,Lucas,1,26,13
170,2.1,0,0,0,0,0,1,27.0,4.0,90503.0,June,Dowling,3,1,112
171,2.0,0,0,0,0,1,0,27.0,2.0,90250.0,Ester,Ackley,1,1,138
172,0.4,0,0,1,0,0,0,52.0,3.0,95817.0,Michael,Arnt,1,28,11
173,7.8,0,0,0,0,1,0,38.0,2.0,92717.0,David,Padgett,1,13,171
174,1.5,0,0,0,0,1,1,58.0,4.0,90095.0,Connie,Austin,1,34,42
175,7.9,0,1,0,0,1,0,42.0,2.0,95503.0,Kenny,Williams,2,17,168
176,1.1,0,0,1,0,1,0,45.0,4.0,91711.0,Joyce,Farrow,2,20,85
177,1.0,135,0,0,0,1,0,52.0,3.0,93111.0,Edward,Delima,2,25,44
178,1.8,244,0,0,0,0,0,29.0,4.0,94132.0,Gina,Gneiser,2,3,65
179,0.2,0,0,0,0,1,1,53.0,4.0,95818.0,Jane,Khouri,1,29,24
180,0.1,0,0,0,0,1,0,62.0,1.0,91942.0,Stephanie,Nunez,1,37,11
181,1.0,164,0,0,0,1,0,51.0,2.0,90401.0,Darrell,Khan,3,27,38
182,0.7,81,0,0,0,0,0,36.0,4.0,93524.0,Margaret,Fisher,2,12,10
183,1.5,0,0,0,0,1,0,24.0,1.0,95133.0,Sylvia,Thomas,1,0,135
184,4.1,0,1,0,0,1,0,29.0,3.0,92173.0,Denise,Romero,1,3,148
185,1.5,0,0,1,0,1,0,52.0,2.0,92717.0,Denise,Bundage,2,26,63
186,1.0,0,0,0,0,1,0,39.0,1.0,91320.0,Claude,Doss,3,14,115
187,0.3,0,0,0,0,1,1,48.0,1.0,95616.0,Robert,Browne,1,23,45
188,1.9,315,1,0,0,1,0,46.0,3.0,94305.0,Dorothy,Brown,3,21,159
189,2.1,122,0,0,0,1,0,64.0,2.0,91320.0,Gemma,Kook,1,40,169
190,1.4,0,0,0,0,1,0,55.0,2.0,94043.0,Lloyd,Turner,1,29,112
191,4.3,0,0,0,0,1,0,60.0,1.0,92521.0,Helen,Collins,1,36,93
192,0.3,140,0,0,0,0,0,51.0,1.0,90404.0,Humberto,Knotts,3,25,29
193,2.67,0,0,0,0,1,0,50.0,1.0,92122.0,Timothy,Painter,2,23,85
194,0.6,0,0,0,0,1,1,48.0,4.0,93118.0,William,Mendez,1,24,21
195,6.8,0,0,0,0,1,0,53.0,2.0,92697.0,Casey,Lewis,1,29,144
196,1.0,95,0,1,0,1,0,34.0,4.0,94577.0,Paula,Smidt,1,10,13
197,5.0,0,0,0,0,0,1,48.0,1.0,93407.0,Angelique,Panto,1,24,165
198,0.7,89,0,0,0,1,0,55.0,4.0,91345.0,Trudi,Trevathan,1,31,9
199,0.0,90,0,1,0,1,0,27.0,4.0,94123.0,Stephen,Smedley,1,3,59
200,5.1,0,1,0,1,1,1,36.0,1.0,92152.0,Frances,Nicholas,3,11,158
201,1.9,0,0,0,0,1,1,32.0,1.0,91355.0,Mary,Repine,3,6,29
202,1.4,0,0,0,0,1,1,35.0,2.0,94609.0,Jennifer,Molacek,3,9,20
203,2.0,0,0,0,0,1,0,30.0,4.0,94306.0,Jack,Boswell,2,3,68
204,2.2,0,0,0,0,1,0,58.0,4.0,95747.0,Lawrence,Bearden,1,34,65
205,1.9,105,0,0,0,0,0,56.0,2.0,96150.0,Shawn,Cline,2,31,61
206,1.4,100,0,0,0,0,1,38.0,4.0,95616.0,Curtis,Baxter,2,12,91
207,1.0,0,0,1,0,1,0,49.0,1.0,91355.0,David,Hanson,1,25,31
208,0.1,0,0,0,0,0,0,34.0,4.0,94115.0,Mark,Kifer,2,10,71
209,2.67,0,0,0,0,1,1,40.0,4.0,94110.0,Lisa,Longe,1,16,73
210,3.1,282,1,0,1,1,1,64.0,4.0,94707.0,Kathy,Davis,1,39,172
211,0.0,0,0,0,0,0,0,51.0,2.0,92131.0,Kasey,Riley,1,26,20
212,0.2,0,0,0,0,0,0,44.0,1.0,94720.0,Fletcher,Sylvester,1,18,55
213,1.7,209,0,0,0,0,0,46.0,2.0,91604.0,Jonathon,Pickens,1,22,69
214,7.4,0,0,0,0,1,0,57.0,1.0,91326.0,Ma,Bucker,1,33,155
215,1.9,0,0,0,0,0,0,54.0,1.0,90291.0,John,Bridges,2,28,94
216,0.0,249,0,0,0,1,1,38.0,2.0,95818.0,Sally,Dunlap,1,14,92
217,0.6,0,0,0,0,0,0,27.0,2.0,95521.0,Edward,Wehunt,1,3,125
218,3.0,0,0,0,0,0,0,39.0,3.0,94305.0,Kenneth,Plaza,1,14,74
219,0.3,0,0,0,0,1,0,44.0,3.0,92807.0,Patrice,Burkhart,3,20,72
220,2.2,0,0,0,0,1,1,56.0,1.0,94707.0,Linda,Doggett,3,30,61
221,0.3,0,0,0,0,0,1,32.0,2.0,92130.0,Edward,Howard,1,6,25
222,1.7,0,0,0,0,1,0,45.0,2.0,95051.0,Aurelio,Littlejohn,2,19,83
223,2.5,0,0,0,0,0,0,26.0,3.0,94306.0,Doris,Fitzgerald,1,2,104
224,1.0,0,0,0,0,1,0,55.0,3.0,95014.0,Frank,Bobb,3,25,41
225,1.8,91,0,0,0,0,0,52.0,4.0,94305.0,Nydia,Vaquera,3,27,58
226,1.5,0,0,0,0,0,1,39.0,1.0,94720.0,Linda,Chapa,3,13,93
227,1.7,0,0,0,0,0,0,24.0,2.0,94085.0,Shirley,Prentice,2,-1,39
228,7.5,0,0,0,1,1,1,47.0,2.0,94551.0,Charles,Lopez,1,23,148
229,1.9,98,0,1,1,0,1,47.0,4.0,92677.0,Autumn,Wideman,3,22,53
230,1.7,145,0,0,0,0,1,48.0,2.0,93117.0,Troy,Young,1,24,71
231,2.8,0,0,0,0,1,0,47.0,1.0,94720.0,Daniel,Bonney,2,22,92
232,2.1,0,0,0,0,1,0,35.0,4.0,94304.0,Marcus,Raso,3,10,61
233,2.5,135,0,0,0,0,0,46.0,3.0,94122.0,Charles,Huggins,2,19,38
234,1.7,0,0,0,0,1,0,62.0,4.0,91320.0,Catrina,Jones,1,37,58
235,0.8,150,0,0,0,0,0,26.0,1.0,95616.0,Elizabeth,Hodges,2,1,80
236,1.8,0,0,0,0,1,0,38.0,4.0,94720.0,Ronald,Duke,3,8,71
237,0.5,0,0,0,0,1,1,43.0,3.0,93407.0,Keith,Helgeson,3,18,89
238,1.8,0,0,0,0,1,0,62.0,1.0,92521.0,Ashlee,Savage,3,38,83
239,0.2,0,0,0,0,1,1,57.0,3.0,95831.0,Gayle,Varner,1,32,28
240,1.7,0,0,0,0,0,0,28.0,4.0,94112.0,Helen,Hodges,2,3,52
241,1.2,169,0,0,0,0,0,51.0,1.0,90089.0,Lorraine,Hays,1,26,70
242,1.4,0,0,0,0,0,1,48.0,1.0,91711.0,Sheila,Leblanc,3,22,71
243,3.7,280,0,0,0,0,0,41.0,1.0,94005.0,Dana,Magee,3,16,75
244,7.9,99,1,0,1,1,0,65.0,3.0,90095.0,Ethel,Haig,3,39,170
245,0.8,78,0,0,0,1,0,41.0,4.0,94025.0,Juan,Piccinone,1,17,78
246,1.0,0,0,0,0,0,0,35.0,2.0,92614.0,Mary,Shapiro,2,11,25
247,0.6,0,0,0,0,1,1,38.0,2.0,94025.0,Robin,Fernandez,3,14,60
248,2.7,111,1,1,1,1,0,53.0,4.0,92626.0,Paul,Hodges,2,29,120
249,1.4,264,0,0,0,1,1,55.0,2.0,92121.0,Jessica,Smith,1,29,99
250,2.6,113,0,0,0,0,1,26.0,3.0,90089.0,Catina,Beadle,3,1,55
251,1.0,117,0,0,0,0,0,30.0,3.0,94305.0,Bonnie,Colvin,2,6,29
252,6.2,325,1,0,0,1,0,54.0,2.0,92182.0,Jason,Carter,2,28,170
253,2.2,0,0,0,0,0,1,65.0,3.0,91711.0,Isidro,Glynn,1,40,53
254,0.0,0,0,0,0,0,0,47.0,1.0,94583.0,Joyce,Eiche,1,21,138
255,3.9,121,1,0,0,1,0,65.0,3.0,91942.0,Amy,Helland,3,41,134
256,0.7,138,0,0,0,0,1,66.0,2.0,92103.0,Marie,Clement,3,40,42
257,2.3,0,0,0,0,0,1,26.0,4.0,92697.0,Addie,Hart,3,0,99
258,0.5,0,0,0,0,0,1,66.0,3.0,92691.0,Stephen,Bryan,1,41,18
259,0.3,0,0,0,0,1,0,35.0,4.0,95747.0,Celia,Vara,1,9,24
260,1.4,77,0,0,0,1,0,56.0,1.0,94107.0,Michael,Bolenbaugh,1,30,55
261,0.0,0,0,0,0,0,1,51.0,1.0,92407.0,Sarah,Sutton,1,27,58
262,1.2,251,1,0,0,1,0,42.0,2.0,93106.0,Tobias,Brooks,3,16,111
263,0.3,0,0,0,1,1,1,49.0,1.0,90245.0,Henry,Blocker,3,23,33
264,1.8,112,0,0,0,1,1,27.0,4.0,92121.0,Manuel,Hottinger,2,1,74
265,0.7,0,0,0,0,0,0,45.0,2.0,90840.0,Beverly,Berry,1,19,38
266,0.6,98,0,1,0,0,0,49.0,4.0,94305.0,Robert,Placencia,3,23,23
267,1.5,0,0,0,0,1,0,63.0,2.0,94720.0,Jack,Deblois,1,38,61
268,2.9,138,0,0,0,0,0,47.0,1.0,90504.0,Jeff,Hunt,1,22,81
269,2.5,0,0,0,0,1,0,64.0,1.0,94002.0,Eric,Lewis,1,39,129
270,0.75,0,0,0,0,0,0,43.0,1.0,95039.0,Heather,Whitney,3,13,33
271,2.2,0,0,0,0,1,0,60.0,4.0,94063.0,Michelle,Stanley,1,36,63
272,1.4,0,0,0,0,1,0,40.0,4.0,94923.0,Corey,Stover,2,14,70
273,0.2,158,0,0,0,1,1,29.0,4.0,95023.0,Alfred,Moore,1,3,45
274,0.5,0,0,0,0,1,0,41.0,3.0,90095.0,David,Scholl,3,16,65
275,2.2,0,0,1,0,0,1,30.0,4.0,95616.0,Sonia,Rice,1,5,74
276,1.8,0,0,1,0,0,0,49.0,4.0,94706.0,Debbie,Moretz,3,24,50
277,0.5,109,0,0,0,1,0,30.0,4.0,90058.0,Geralyn,Denham,3,5,22
278,1.0,0,0,0,0,0,0,29.0,4.0,92126.0,Martha,Gorecki,3,2,30
279,1.0,0,0,0,0,1,0,50.0,4.0,91125.0,Melvin,Gonzalez,1,26,21
280,3.9,0,0,0,0,1,0,39.0,2.0,94577.0,Patricia,Thomas,1,14,155
281,2.1,164,0,0,0,1,0,33.0,4.0,92121.0,Lee,Navarro,3,8,64
282,2.6,0,0,0,0,0,1,57.0,4.0,94118.0,Tameka,Powers,3,31,65
283,0.7,0,0,0,0,1,0,34.0,4.0,91711.0,Kathleen,Ford,3,9,71
284,0.5,0,0,1,0,1,0,61.0,3.0,90029.0,Elizabeth,Salvador,2,36,40
285,0.5,0,0,0,0,1,0,44.0,3.0,92806.0,Tracy,Brown,3,19,69
286,2.33,0,0,0,0,0,0,40.0,3.0,94305.0,Lorraine,Salinas,2,13,69
287,0.6,131,0,0,0,1,0,51.0,3.0,94806.0,Louis,Coble,2,25,45
288,0.7,0,0,0,0,0,1,37.0,3.0,92110.0,Barbara,Martin,2,12,62
289,4.3,391,1,1,1,1,0,44.0,2.0,94306.0,Rosa,Evans,3,19,172
290,1.0,0,0,0,0,1,1,42.0,3.0,92121.0,Margaret,Orellana,2,15,24
291,4.9,0,0,0,0,0,0,51.0,1.0,92373.0,Mary,Jones,1,25,80
292,0.67,88,0,0,0,1,0,43.0,3.0,90089.0,Betty,Singleton,2,16,8
293,0.8,129,0,0,0,1,1,30.0,4.0,94542.0,Vivian,Mcdonald,1,5,38
294,2.6,0,0,0,0,0,0,45.0,4.0,90095.0,Molly,Kinloch,3,19,93
295,2.0,0,0,0,0,1,0,35.0,1.0,94536.0,Robert,Boyd,1,9,55
296,1.7,0,0,0,0,0,1,60.0,2.0,94304.0,Benjamin,Perry,3,34,64
297,0.0,0,0,0,0,1,0,34.0,1.0,90623.0,Jose,Griffith,1,9,122
298,1.4,0,0,0,0,1,0,55.0,3.0,93720.0,Tammy,Holden,3,25,70
